#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,
primevalist_fossil_search;Dig For Saurian Bones;;;;;;;;;;;;;x,,,,,,
primevalist_fossil_search_desc;Primevalists practice the sacred science of paleontology, and can search for dig sites to uncover the remains of their Saurian demigods.;;;;;;;;;;;;;x,,,,,,
EVTNAME_digsite_describe;Unearthing the Saurians;;;;;;;;;;;;;x,,,,,,
EVTDESC_digsite_describe;Primevalism's predecessors once unearthed the remains of the Saurian titans through the sacred art of Paleontology, and this practice has been passed down through generations. You shall embark on a journey to a digsite and hopefully unearth a worthy fossil, so that you may learn more about the divine prehistoric age.;;;;;;;;;;;;;x,,,,,,
EVTOPT_digsite_describe;Now where to start digging for Saurian bones?;;;;;;;;;;;;;x,,,,,,
EVTDESC_digsite_choosesite;You have located several potential Saurian resting places in the province of [From.GetName]. The people of [From.GetName] follow the [From.Religion.GetName] faith, and are culturally [From.Culture.GetName].\n\nProvinces populated by infidels are more likely to contain Saurian remains, since they do not follow paleontological tradition.;;;;;;;;;;;;x
EVTDESC_digsite_choosesite_accept;That will be my destination.;;;;;;;;;;;;x
EVTDESC_digsite_choosesite_reject;That province is unacceptable.;;;;;;;;;;;;x
EVTDESC_digsite_prepare;Before leaving on your Paleontology Dig to [From.GetName], it would be wise to make preparations.;;;;;;;;;;;;x
EVTOPT_digsite_prepare_start;Set out with your men.;;;;;;;;;;;;x
EVTOPT_digsite_prepare_research;Consult the Paleothists for good digsite locations.;;;;;;;;;;;;x
EVTOPT_digsite_prepare_warband;Assemble a battle-hardened warband to accompany you.;;;;;;;;;;;;x
EVTOPT_digsite_prepare_envoys;Send envoys ahead to smooth your travels.;;;;;;;;;;;;x
EVTNAME_digsite_unfriendly;Unfriendly Locals;;;;;;;;;;;;;x
EVTDESC_digsite_unfriendly;You arrive in [From.GetName], and many of the local residents are distrustful or outright hostile towards you and your men. You notice them watching you surreptitiously and talking amongst themselves, and have a difficult time finding a place to rest.;;;;;;;;;;;;x
EVTOPT_digsite_unfriendly_ignore;Ignore them.;;;;;;;;;;;;x
EVTOPT_digsite_unfriendly_warband;We're well armed, they won't risk attacking us.;;;;;;;;;;;;x
EVTOPT_digsite_unfriendly_envoys;My envoys have arranged for safe passage.;;;;;;;;;;;;x
EVTOPT_digsite_unfriendly_intrigue;Try to keep a low profile.;;;;;;;;;;;;x
EVTDESC_digsite_provowner;Primevalists from a nearby realm are attempting to excavate Saurian remains from your lands in [Root.GetName]. Their presence seems to be drawing the ire of the local [Root.Religion.GetName] population, who are preparing for a confrontation with them.;;;;;;;;;;;;x
EVTOPT_digsite_provowner_violence;Let the locals drive them away.;;;;;;;;;;;;x
EVTOPT_digsite_provowner_peaceful;We must avoid bloodshed.;;;;;;;;;;;;x
EVTDESC_digsite_peaceful;Mixed among the local residents in [From.GetName], you see the occasional soldier wearing the colors of [From.Holder.GetTitledFirstName]. Fortunately, the soldiers seem to be ensuring that order is maintained and the locals allow you to pass without conflict.;;;;;;;;;;;;x
EVTNAME_digsite_violence;Hostile Locals;;;;;;;;;;;;;x
EVTDESC_digsite_violence;Your continued presence in [From.GetName] has drawn the ire of the local peasantry, and you are now confronted by a disorganized mob of angry villagers. They may not be well armed, and they're certainly not well trained...\n\n...but there are a lot of them.;;;;;;;;;;;;x
EVTOPT_digsite_violence_flee;We should turn back.;;;;;;;;;;;;x
TXT_digsite_flee;Your Saurian Dig is over.;;;;;;;;;;;;x
TXT_digsite_continue;Your Saurian Dig continues.;;;;;;;;;;;;x
EVTOPT_digsite_violence_fight;We can fight our way through!;;;;;;;;;;;;x
EVTOPT_digsite_violence_fightwarband;They'll back down from a vulgar display of power!;;;;;;;;;;;;x
EVTOPT_digsite_violence_bribe;Peasants like silver, right?;;;;;;;;;;;;x
EVTNAME_digsite_drivenout;Driven from [From.From.GetName];;;;;;;;;;;;x
