#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###########Agragian Government####
#Title Localizations
agrarian_government;Agragian;;;;;;;;;;;;;x
agrarian_government_desc;Agrarian government reflects the ideals of La Hermandad, that the people and their labor should be the first concern of every ruler. Rulers are expected to put their people's concerns first and even to labor in the field alongside them when the harvest is brought in. Elections are usually favored over direct hereditary succession, and collectivism is championed as an ideal that reflects the will of the people rather than that just of its rulers.;;;;;;;;;;;;;x

#LH Traits

la_hermandad_vieja;Vieja;;;;;;;;;;;;;x
la_hermandad_vieja_desc;This man is a venerated La Hermandad elder.;;;;;;;;;;;;;x
la_hermandad_viejo;Viejo;;;;;;;;;;;;;x
la_hermandad_viejo_desc;This man is a venerated La Hermandad elder.;;;;;;;;;;;;;x
la_hermandad_padre;Padre;;;;;;;;;;;;;x
la_hermandad_padre_desc;This character is a man of the cloth. A sworn celibate.;;;;;;;;;;;;;x
companero;Bracero;;;;;;;;;;;;;x
companero_desc;This character is a veteran Bracero.;;;;;;;;;;;;;x
sapo;Sapo;;;;;;;;;;;;;x
sapo_desc;This character refused to take up arms in defense of the La Hermandad faith, and is shunned by other La Hermandad faithful as a result.;;;;;;;;;;;;;x
COMPL_COMPANERO;veterano;;;;;;;;;;;;;x
CTT_HUELGAS_UNLOCKED;The Era of Huelgas has Begun\n;;;;;;;;;;;;;x

temple_baron_la_hermandad;Padre;;;;;;;;;;;;;x
temple_baron_female_la_hermandad;Madre;;;;;;;;;;;;;x
temple_barony_la_hermandad;Iglesia;;;;;;;;;;;;;x
temple_barony_of_la_hermandad;Iglesia of;;;;;;;;;;;;;x
baron_la_hermandad;Alcalde;;;;;;;;;;;;;x
baron_female_la_hermandad;Alcaldesa;;;;;;;;;;;;;x
barony_of_la_hermandad;Alcaldía of;;;;;;;;;;;;;x
barony_la_hermandad;Alcaldía;;;;;;;;;;;;;x
count_la_hermandad;Afiliado;;;;;;;;;;;;;x
count_female_la_hermandad;Afiliada;;;;;;;;;;;;;x
county_of_la_hermandad;Afiliación of;;;;;;;;;;;;;x
county_la_hermandad;Afiliación;;;;;;;;;;;;;x
duke_la_hermandad;Camarada;;;;;;;;;;;;;x
duke_female_la_hermandad;Camarada;;;;;;;;;;;;;x
duchy_of_la_hermandad;Jurisdicción of;;;;;;;;;;;;;x
duchy_la_hermandad;Jurisdicción;;;;;;;;;;;;;x
king_la_hermandad;Jefe Sindical;;;;;;;;;;;;;x
king_female_la_hermandad;Jefa Sindical;;;;;;;;;;;;;x
kingdom_of_la_hermandad;Sindicato of;;;;;;;;;;;;;x
kingdom_la_hermandad;Sindicato;;;;;;;;;;;;;x
emperor_la_hermandad;Gran Rector;;;;;;;;;;;;;x
emperor_female_la_hermandad;Gran Rectora;;;;;;;;;;;;;x
empire_of_la_hermandad;Federación of;;;;;;;;;;;;;x
empire_la_hermandad;Federación;;;;;;;;;;;;;x

la_hermandad_uncle;Tío;;;;;;;;;;;;;x
la_hermandad_aunt;Tía;;;;;;;;;;;;;x

EVTNAME_yakima_fallen;The Fall of Yakima;;;;;;;;;;;;;x
EVTDESC_yakima_fallen;Yakima, the breadbasket of the Pacific Northwest and the homeland of La Hermandad, has fallen to outside forces. Braceros across the country are in an uproar with calls for a strike or huelga to retake Yakima from the invaders, from the lowest worker to the highest boss.;;;;;;;;;;;;;x
EVTOPTA_yakima_fallen;We shall overcome!;;;;;;;;;;;;;x
EVTOPTB_yakima_fallen;Tree of hope, stand firm.;;;;;;;;;;;;;x
EVTOPTC_yakima_fallen;What's a strike?;;;;;;;;;;;;;x
EVTNAME200;A Huelga Is Called!;;;;;;;;;;;;;x
