create_belize;Gather the crownlands of Belize;;;;;;;;;;;;;;x
create_belize_desc;As a powerful lord of this land, I can claim the ancient lands of Belize as its own realm.;;;;;;;;;;;;;;x
create_belize_desc_extra;The duchies of Belize that are held by the character will become dejure part of the new realm.;;;;;;;;;;;;;;x
belize.1;Fuck you guys;;;;;;;;;;;;;;x 
PRINCE;Prince;;;;;;;;;;;;;;x 
PRINCE_FEMALE;Princess;;;;;;;;;;;;;;x 
PRINCE_FEMALE_mayan;X'Ajaw;;;;;;;;;;;;;;x 
PRINCE_mayan;Ajaw;;;;;;;;;;;;;;x 
PRINCE_yucateco;Ajaw;;;;;;;;;;;;;;x 
PRINCE_FEMALE_yucateco;X'Ajaw;;;;;;;;;;;;;;x 
