###ANSI###


#Title Localizations
baron_edenite;Acolyte;;;;;;;;;;;;;x
baron_female_edenite;Acolyte;;;;;;;;;;;;;x
county_edenite;Parsel;;;;;;;;;;;;;x
county_of_edenite;Parsel of;;;;;;;;;;;;;x
count_edenite;Custodian;;;;;;;;;;;;;x
count_female_edenite;Custodian;;;;;;;;;;;;;x
duke_edenite;Guide;;;;;;;;;;;;;x
duke_female_edenite;Guide;;;;;;;;;;;;;x
duchy_edenite;Great Parsel;;;;;;;;;;;;;x
duchy_of_edenite;Great Parsel of;;;;;;;;;;;;;x
king_edenite;Counselor;;;;;;;;;;;;;x
king_female_edenite;Counselor;;;;;;;;;;;;;x
kingdom_edenite;Park;;;;;;;;;;;;;x
kingdom_of_edenite;Park of;;;;;;;;;;;;;x
emperor_edenite;Moderator;;;;;;;;;;;;;x
emperor_female_edenite;Moderator;;;;;;;;;;;;;x
empire_edenite;Great Park;;;;;;;;;;;;;x
empire_of_edenite;Great Park of;;;;;;;;;;;;;x

baron_forester;Cadet;;;;;;;;;;;;;x
baron_female_forester;Cadet;;;;;;;;;;;;;x
county_of_forester;Parsel of;;;;;;;;;;;;;x
county_forester;Parsel;;;;;;;;;;;;;x
count_forester;Junior Ranger;;;;;;;;;;;;;x
count_female_forester;Junior Ranger;;;;;;;;;;;;;x
duke_forester;Ranger;;;;;;;;;;;;;x
duke_female_forester;Ranger;;;;;;;;;;;;;x
duchy_of_forester;Great Parsel of;;;;;;;;;;;;;x
duchy_forester;Great Parsel;;;;;;;;;;;;;x
king_forester;Chief Ranger;;;;;;;;;;;;;x
king_female_forester;Chief Ranger;;;;;;;;;;;;;x
kingdom_of_forester;Park of;;;;;;;;;;;;;x
kingdom_forester;Park;;;;;;;;;;;;;x
emperor_forester;Park Director;;;;;;;;;;;;;x
emperor_female_forester;Park Director;;;;;;;;;;;;;x
empire_of_forester;Great Park of;;;;;;;;;;;;;x
empire_forester;Great Park;;;;;;;;;;;;;x

FIRE_TENDER;Fire Tender;;;;;;;;;;;;;x
RANGER_DEAD_TITLE;Duke Dead;;;;;;;;;;;;x #Ranger
RANGER_BLACK_TITLE;Duke Black;;;;;;;;;;;;x #Ranger
RANGER_LITTLE_TITLE;Duke Little;;;;;;;;;;;;x
RANGER_LONG_TITLE;Duke Long;;;;;;;;;;;;x
RANGER_CHILIKOOT;Chilikoot;;;;;;;;;;;;x
RANGER_GRANDFATHER;Grandfather;;;;;;;;;;;;x
#Government Localizations
reserve_government;Reserve;;;;;;;;;;;;;x,,,,,,
reserve_government_desc;Reserves revolve around the relationship between mankind and nature, focusing on reciprocity instead of exploitation. They exist on the premise that nature is sacred, and that any unnecessary intrusion by mankind is an affront to the divine. Favoring scattered camps and strongholds over large expansive settlements, preserves seek to conserve the land to prevent destruction whether at the hands of men or by some unforeseen cataclysm.;;;;;;;;;;;;;x,,,,,,

#Casus Belli Localizations
CB_NAME_LIBERATE_WILDS;Liberate [Title.GetBaseName];;;;;;;;;;;;;x,,,,,,
WAR_NAME_LIBERATE_WILDS;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;;;;;;;;;;;;;x,,,,,,
liberate_wilds_cb_succ_tip;§Y[Root.GetTitledFirstName]§! liberates the Wilds and takes all titles in the §Y[This.GetFullBaseName]§!.\n;;;;;;;;;;;;;x,,,,,,
cb_liberate_wilds;Liberate the Wilds;;;;;;;;;;;;;x,,,,,,
cb_liberate_wilds_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the savage, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;;;;;;;;;;;;;x,,,,,,

liberate_wilds_cooldown;Recent Wildlife Liberation;;;;;;;;;;;;;x
liberate_wilds_cooldown_ctt;Gain the Recent Liberation of the Wilds.\n;;;;;;;;;;;;;x
